Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
ROLLING THUNDER: Jet Combat From WW II to the Gulf War,"By Rendall, Ivan","""The jet fighter is one of the great icons of the second half of the twentieth century, a symbol of achievement, of technical excellence, of ultimate modernity, of latent military power.""  So begins Ivan Rendall, a former Royal Air Force pilot, in this thrilling first-ever history of the most seductive and deadly of all of man's weapons of war. From its birth in battle during the last days of World War II to its current aeronautical peak, the jet fighter has always been the king of the sky. Rendall's Rolling Thunder is the celebration of a machine, and a culture, for which ""winning is about accepting that there is no such thing as second-best.""  Rendall's scrupulous history is driven by a strong thesis: jets may depend upon technological advances, but the human edge supplied by their pilots has determined their success or failure in all times and places. In this respect, the West has triumphed over its enemies. Beginning with the dangerously fast but hopelessly outnumbered German Me 262, jets and the men who flew them quickly became potent physical and psychological weapons. From the ruins of a defeated Germany came the now-familiar look of swept-back wings and with them the secret of supersonic flight. Less than a decade later, the two World War II allies most responsible for Germany's defeat would meet as enemies in Korea. Their planes -- the American F-86 Saber and Russian MiG-15 -- clashed over the Yalu River in what American pilots called ""MiG Alley."" Diving from 40,000 feet and flying through dry riverbeds so low that their engines kicked up dirt, both sides' machines soon proved their worth.  In Vietnam, American fighter pilots involved in the costly ""Rolling Thunder"" campaign again proved the value of the American emphasis on individualism as taught in the ""Top Gun"" school of aeronautics. Rendall vividly describes pilots in F-4 Phantoms and F-105 Thunderchiefs dodging SA-2 surface-to-air missiles in the ""ultimate test of man versus machine.""  Recent uses of air power, from the legendary ""Instant Thunder"" campaign in the Gulf War to the enforcement of No-Fly Zones in Bosnia, have proved that the jet fighter remains as versatile and dangerous as ever. But today, with $100 million mach 3 machines capable of climbing 65,000 feet -- twice the height of Everest -- in a minute, many have argued that the pilot has become the weak link in the jet fighter's lethal equation. Rendall shows that the argument to remove the pilot from his machine -- seemingly complete with NASA's new unmanned X-36 -- is as old as the machine that broke the sound barrier, Chuck Yeager's X-1. The ability to balance the grace and brutality of a machine that has evolved into a perfect combination of form and function will remain the unique province of the fighter pilot -- the ""quintessential warrior of our times."""," Technology & Engineering , Military Science",Free Press,5.41,May,1999
The Everything Cover Letter Book (Everything),"By Graber, Steven and Lipsman, Mark","Parsing the allimportant cover letter, this career guide to crafting effective correspondance during a job search includes advice on writing cold letters, cover letters, thank letters, followup letters, and much more. Original. $250,000 ad/promo."," Business & Economics , General",Everything,5.35,April,2000
"Norman Mark's Chicago: Walking, bicycling & driving tours of the city","By Mark, Norman",,,Chicago Review Press,8.85,January,1987
Believing in Jesus,"By Foley, Leonard",,,St. Anthony Messenger Press,5.29,January,1985
Irish Druids and Old Irish Religions,"By Bonwick, James",," Religion , Ethnic & Tribal",Hippocrene Books,4.99,June,1986
Eat Smart for a Healthy Heart Cookbook,"By Cooley, Denton A., M.D. and Moore, Carolyn E.","More than 350 healthy yet appetizing recipes are incorporated into well-balanced menus that list nutritional values for low-sodium, low-fat, and low-cholesterol main courses, soups, salads, vegetable dishes and desserts. Reprint. LJ."," Cooking , Health & Healing , General","Barron's Educational Series, inc",6.12,March,1992
I Can Print A to Z (Wipe-off Activity Book--Reusable),By Enterprises Incorporated Trend,,,Trend Enterprises Inc,5.29,January,1997
1-2-3 Murals: Simple Murals to Make from Children's Open-Ended Art,"By Warren, Jean",,,"Warren Publishing House, Inc.",5.29,April,1989
A Book of Americans,"By Benet, Rosemary",,,"Farrar and Rinehart, inc",15.4,January,1933
The Pleasures of Watching Birds,"By Oberman, Lola and Swan, Joy (ILT)","The author shares her observations on various species of birds, answers questions about bird pests, and discusses bird counts and the care of injured birds"," Science , General",Walker & Co,5.29,June,1991
Young Men and Fire,"By MacLean, Norman","On August 5, 1949, a crew of fifteen of the United States Forest Service's elite airborne firefighters, the Smokejumpers, stepped into the sky above a remote forest fire in the Montana wilderness. Two hours after their jump, all but three of these men were dead or mortally burned. Haunted by these deaths for forty years, Norman Maclean puts back together the scattered pieces of the Mann Gulch tragedy.Young Men and Fire won the National Book Critics Circle Award in 1992.""A magnificent drama of writing, a tragedy that pays tribute to the dead and offers rescue to the living.... Maclean's search for the truth, which becomes an exploration of his own mortality, is more compelling even than his journey into the heart of the fire. His description of the conflagration terrifies, but it is his battle with words, his effort to turn the story of the 13 men into tragedy that makes this book a classic.""—from New York Times Book Review Editor's Choice, Best Books of 1992""A treasure: part detective story, part western, part tragedy, part elegy and wholly eloquent ghost story in which the dead and the living join ranks cheerfully, if sometimes eerily, in a search for truth and the rest it brings.""—Joseph Coates, Chicago Tribune""An astonishing book. In compelling language, both homely and elegant, Young Men and Fire miraculously combines a fascinating primer on fires and firefighting, a powerful, breathtakingly real reconstruction of a tragedy, and a meditation on writing, grief and human character.... Maclean's last book will stir your heart and haunt your memory.""—Timothy Foote, USA Today""Beautiful.... A dark American idyll of which the language can be proud.""—Robert M. Adams, The New York Review of Books""Young Men and Fire is redolent of Melville. Just as the reader of Moby Dick comes to comprehend the monstrous entirety of the great white whale, so the reader of Young Men and Fire goes into the heart of the great red fire and comes out thoroughly informed. Don't hesitate to take the plunge.""—Dennis Drabelle, Washington Post Book World""Young Men and Fire is a somber and poetic retelling of a tragic event. It is the pinnacle of smokejumping literature and a classic work of 20th-century nonfiction.""—John Holkeboer, The Wall Street Journal""Maclean is always with the brave young dead. . . . They could not have found a storyteller with a better claim to represent their honor. . . . A great book.""—James R. Kincaid, New York Times Book Review"," Nature , Plants , Trees",University of Chicago Press,4.99,January,1992
